NBH_ID,NBH_NAME,total crime,violent crime,property crime,Median income,Median home value,Population with BS or More,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Bike Score,Population
169,Hickman Mills South,309,326,277,53250,66050,104,394,328,0,30,34,97,306,17,17,28,1797
126,Noble And Gregory Ridge,308,232,372,41412,61350,53,84,746,0,37,96,209,408,20,34,27,1869
204,Foxwoods-Carriage Hills,307,222,379,88004,189100,266,972,128,6,230,25,46,470,23,16,27,844
15,Pendleton Heights,307,421,177,29954,114520,83,207,388,46,211,100,258,343,66,41,49,3625
201,Glenhaven,304,223,374,58713,113100,140,950,37,33,70,25,223,484,29,20,30,1161
148,Red Bridge South,304,342,252,42314,172600,493,956,349,11,36,0,516,772,43,25,40,2653
237,Sherrydale,303,266,328,52946,139600,444,1339,335,28,205,37,485,811,33,18,33,1807
43,Eastwood Hills East,298,299,286,47784,85875,81,402,365,6,135,44,183,376,13,28,20,3787
202,Sherwood Estates,298,269,317,59569,135900,222,821,6,24,71,8,63,451,36,28,31,1573
74,Hanover Place,297,563,249,62916,221675,349,626,162,32,44,150,396,510,80,51,73,2463
120,Citadel,295,618,237,37947,92400,174,36,902,17,9,64,228,466,59,44,41,1320
17,Lykins,293,270,304,24377,45912,25,150,258,27,310,101,155,275,68,42,48,4937
77,Central Hyde Park,291,328,285,80152,341500,458,539,100,78,82,91,256,444,64,51,72,1572
69,Manheim Park,290,250,330,31217,69250,72,104,634,0,137,116,255,373,56,48,48,1355
150,Verona Hills,285,240,314,124650,279000,525,882,50,22,51,4,23,410,18,23,32,1852
172,Crossgates,284,436,114,35000,112500,84,87,1057,0,90,127,393,598,42,27,39,1805
72,Roanoke,279,302,239,51719,389600,281,453,10,13,0,49,129,268,79,46,60,535
193,Antioch Acres,276,331,221,49271,122100,223,746,242,32,191,15,221,556,31,29,32,1738
167,Robandee South,275,271,365,53750,86800,106,368,1393,0,25,124,298,482,16,6,27,1364
31,South Blue Valley,274,258,280,22785,33499,13,202,313,1,264,109,192,336,38,38,23,1664
33,West Blue Valley,274,258,280,17634,48550,98,318,131,19,769,109,250,411,44,36,29,1792
