,NBH_ID,NBH_NAME,total crime,violent crime,property crime,Median income,Median home value,Population with BS or More,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Bike Score,Population,Animals / Pets,City Facilities,Lights / Signals,Mowing / Weeds,Trash / Recycling
68,104,Oak Meyer Gardens,222,283,150,64750,247200,663,1051,36,56,0,0,74,487,67,43,41,1154,2.444444444,,9.25,,9.212121212
69,36,Western Blue Township,222,183,248,40687,75400,117,490,122,1,116,29,93,340,9,22,12,999,2.538461538,,4.6,105.6666667,23.42553191
70,138,Western Hills,221,32,255,65382,151650,408,835,110,9,111,15,119,562,57,35,43,1992,1.5625,,11.63636364,48.75,8.202531646
71,116,Swope Parkway-Elmwood,221,296,132,28156,79060,73,104,648,3,32,64,219,344,19,34,20,2226,11.28070175,23,3,104.4545455,19.42214533
72,157,St Catherines Gardens,218,217,208,64869,140400,414,872,312,31,77,42,100,501,7,2,19,2896,18,,3.142857143,48.66666667,6.251655629
73,38,Ashland Ridge,210,348,186,32989,76800,59,596,557,0,307,56,559,722,29,38,25,1274,19.75,,4,103.25,46.20689655
74,238,Jefferson Highlands,207,294,105,57547,131166,204,969,78,6,140,16,108,428,37,24,32,2335,0.75,,3.666666667,135.3333333,12.2
75,130,Marlborough East,207,127,282,29765,74100,70,248,728,0,16,117,306,449,15,36,18,1335,10.47619048,216,3,118,12.78125
76,56,Key Coalition,206,444,163,24450,42200,36,36,574,5,36,200,154,309,61,46,49,1579,18.91666667,,18,72.5,16.87755102
77,80,Southmoreland,204,276,190,55312,189260,454,629,96,54,34,63,303,492,79,50,61,2772,11.90909091,,5.692307692,94,22.92682927
78,210,Maple Park,203,165,235,54397,114100,82,1171,7,0,0,104,131,530,16,18,17,1381,3.5,,3.5,40.6,14.74358974
79,76,North Hyde Park,203,272,123,26525,203700,169,380,298,0,104,126,295,411,73,52,75,1680,33.125,,4.8125,,7.021505376
80,196,River Forest,202,282,112,86831,149450,155,620,123,40,96,10,120,336,21,22,21,1400,1.3,,,87.33333333,3.341463415
81,228,Breen Hills,200,215,100,86947,208166,378,1041,111,64,224,53,213,584,10,27,28,3490,12,,6,68,7.072164948
82,5,Paseo West,200,332,35,26766,92649,171,405,821,143,163,83,359,464,70,60,58,774,3,,1.5,6,2.375
83,21,Sheffield,200,150,-12,23979,44880,40,230,108,32,522,80,180,334,58,39,35,2836,16.47826087,,5.7,92.83333333,29.05319149
84,28,Washington Wheatley,198,194,192,32378,61000,60,90,530,2,97,165,147,296,38,43,39,1974,9.236363636,,3.777777778,97.84848485,23.92972973
85,159,Terrace Lake Gardens,194,149,230,60368,99000,392,1491,256,56,240,0,161,754,18,7,27,1498,19.5,,2.9,31.18181818,25.80952381
86,41,Sterling Gardens,193,146,232,62296,108500,108,605,270,9,56,13,59,387,29,28,30,913,2.666666667,,2,19,32.65789474
87,40,Sterling Acres,190,341,163,51439,100950,98,536,133,0,83,51,103,365,47,37,40,890,24.93333333,,1.666666667,65,42.58333333
88,146,Bridlespur,188,77,208,89394,180600,396,747,83,0,67,12,37,375,27,24,31,1269,0.6,,4.4,,4.131578947
89,227,Parkdale And Walden,188,123,242,80826,238700,810,2087,163,9,147,56,351,1008,12,25,20,3689,9.277777778,,3.416666667,65.8,13.27380952
90,88,Sunset Hill,187,75,207,162000,957400,492,707,0,8,0,19,0,302,52,37,31,647,3,,3.25,,3.952380952
91,27,Wendell Phillips,184,208,149,29535,98333,89,30,642,0,98,109,326,466,46,44,37,1754,10.83870968,92,16.75,50.84375,18.89108911
92,131,Brown Estates,181,443,134,46515,106700,99,314,453,8,11,77,204,363,5,24,24,720,16.83333333,,32.83333333,54.33333333,14.08602151
93,137,Hillcrest,181,170,183,34659,96000,178,295,552,26,150,88,468,558,2,17,16,577,1.428571429,,5.5,26,5.904761905
